dataset_name,lab_subject_id,eng_exposure,eng_ws_produced,fr_exposure,fr_ws_produced,eng_wg_understood,eng_wg_produced,eng_wsshort_produced,eng_ws_understood
mahr_coartic,7,NA,NA,NA,NA,NA,NA,20,NA
mahr_coartic,8,NA,NA,NA,NA,NA,NA,53,NA
mahr_coartic,9,NA,NA,NA,NA,NA,NA,8,NA
mahr_coartic,10,NA,NA,NA,NA,NA,NA,52,NA
mahr_coartic,11,NA,NA,NA,NA,NA,NA,83,NA
mahr_coartic,12,NA,NA,NA,NA,NA,NA,19,NA
mahr_coartic,13,NA,NA,NA,NA,NA,NA,84,NA
mahr_coartic,14,NA,NA,NA,NA,NA,NA,51,NA
mahr_coartic,15,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,16,NA,NA,NA,NA,NA,NA,6,NA
mahr_coartic,17,NA,NA,NA,NA,NA,NA,44,NA
mahr_coartic,18,NA,NA,NA,NA,NA,NA,30,NA
mahr_coartic,19,NA,NA,NA,NA,NA,NA,42,NA
mahr_coartic,20,NA,NA,NA,NA,NA,NA,42,NA
mahr_coartic,21,NA,NA,NA,NA,NA,NA,6,NA
mahr_coartic,22,NA,NA,NA,NA,NA,NA,8,NA
mahr_coartic,23,NA,NA,NA,NA,NA,NA,58,NA
mahr_coartic,24,NA,NA,NA,NA,NA,NA,13,NA
mahr_coartic,25,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,26,NA,NA,NA,NA,NA,NA,35,NA
mahr_coartic,27,NA,NA,NA,NA,NA,NA,73,NA
mahr_coartic,28,NA,NA,NA,NA,NA,NA,55,NA
mahr_coartic,29,NA,NA,NA,NA,NA,NA,16,NA
mahr_coartic,30,NA,NA,NA,NA,NA,NA,26,NA
mahr_coartic,31,NA,NA,NA,NA,NA,NA,27,NA
mahr_coartic,32,NA,NA,NA,NA,NA,NA,56,NA
mahr_coartic,33,NA,NA,NA,NA,NA,NA,66,NA
mahr_coartic,34,NA,NA,NA,NA,NA,NA,79,NA
mahr_coartic,35,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,36,NA,NA,NA,NA,NA,NA,66,NA
mahr_coartic,37,NA,NA,NA,NA,NA,NA,28,NA
mahr_coartic,38,NA,NA,NA,NA,NA,NA,53,NA
mahr_coartic,39,NA,NA,NA,NA,NA,NA,7,NA
mahr_coartic,40,NA,NA,NA,NA,NA,NA,69,NA
swingley_aslin_2002,12,NA,NA,NA,NA,251,6,NA,NA
swingley_aslin_2002,13,NA,NA,NA,NA,193,14,NA,NA
swingley_aslin_2002,14,NA,NA,NA,NA,239,30,NA,NA
swingley_aslin_2002,15,NA,NA,NA,NA,39,10,NA,NA
swingley_aslin_2002,16,NA,NA,NA,NA,161,62,NA,NA
swingley_aslin_2002,17,NA,NA,NA,NA,178,119,NA,NA
swingley_aslin_2002,18,NA,NA,NA,NA,158,88,NA,NA
swingley_aslin_2002,19,NA,NA,NA,NA,116,2,NA,NA
swingley_aslin_2002,21,NA,NA,NA,NA,38,0,NA,NA
swingley_aslin_2002,25,NA,NA,NA,NA,182,25,NA,NA
swingley_aslin_2002,26,NA,NA,NA,NA,149,28,NA,NA
swingley_aslin_2002,35,NA,NA,NA,NA,204,31,NA,NA
swingley_aslin_2002,39,NA,NA,NA,NA,296,3,NA,NA
swingley_aslin_2002,40,NA,NA,NA,NA,196,34,NA,NA
swingley_aslin_2002,42,NA,NA,NA,NA,199,38,NA,NA
swingley_aslin_2002,43,NA,NA,NA,NA,118,10,NA,NA
swingley_aslin_2002,44,NA,NA,NA,NA,162,36,NA,NA
swingley_aslin_2002,45,NA,NA,NA,NA,188,20,NA,NA
swingley_aslin_2002,46,NA,NA,NA,NA,18,0,NA,NA
swingley_aslin_2002,47,NA,NA,NA,NA,103,19,NA,NA
swingley_aslin_2002,48,NA,NA,NA,NA,110,18,NA,NA
swingley_aslin_2002,51,NA,NA,NA,NA,279,1,NA,NA
swingley_aslin_2002,52,NA,NA,NA,NA,166,54,NA,NA
swingley_aslin_2002,54,NA,NA,NA,NA,224,1,NA,NA
swingley_aslin_2002,56,NA,NA,NA,NA,44,4,NA,NA
swingley_aslin_2002,57,NA,NA,NA,NA,187,2,NA,NA
swingley_aslin_2002,58,NA,NA,NA,NA,115,5,NA,NA
swingley_aslin_2002,59,NA,NA,NA,NA,126,28,NA,NA
swingley_aslin_2002,60,NA,NA,NA,NA,35,0,NA,NA
swingley_aslin_2002,63,NA,NA,NA,NA,167,12,NA,NA
swingley_aslin_2002,65,NA,NA,NA,NA,178,3,NA,NA
swingley_aslin_2002,67,NA,NA,NA,NA,37,6,NA,NA
swingley_aslin_2002,68,NA,NA,NA,NA,18,1,NA,NA
swingley_aslin_2002,76,NA,NA,NA,NA,150,17,NA,NA
swingley_aslin_2002,77,NA,NA,NA,NA,95,11,NA,NA
swingley_aslin_2002,78,NA,NA,NA,NA,75,150,NA,NA
swingley_aslin_2002,80,NA,NA,NA,NA,200,14,NA,NA
swingley_aslin_2002,81,NA,NA,NA,NA,264,4,NA,NA
swingley_aslin_2002,83,NA,NA,NA,NA,241,26,NA,NA
swingley_aslin_2002,84,NA,NA,NA,NA,98,10,NA,NA
swingley_aslin_2002,85,NA,NA,NA,NA,244,13,NA,NA
swingley_aslin_2002,87,NA,NA,NA,NA,215,5,NA,NA
swingley_aslin_2002,88,NA,NA,NA,NA,193,56,NA,NA
swingley_aslin_2002,90,NA,NA,NA,NA,65,22,NA,NA
swingley_aslin_2002,91,NA,NA,NA,NA,283,6,NA,NA
swingley_aslin_2002,92,NA,NA,NA,NA,137,31,NA,NA
swingley_aslin_2002,93,NA,NA,NA,NA,75,7,NA,NA
swingley_aslin_2002,96,NA,NA,NA,NA,190,9,NA,NA
swingley_aslin_2002,98,NA,NA,NA,NA,98,15,NA,NA
swingley_aslin_2002,100,NA,NA,NA,NA,111,2,NA,NA
