"a1","d","g","u","definition"
1.96277087144171,-0.627955699616212,0,1,"airplane"
2.3329983900565,-3.3288347010129,0,1,"all"
1.78963902821451,1.69488202433384,0,1,"all gone"
2.36153058050799,-2.27639269331889,0,1,"animal"
1.77139683408329,-2.63674503897823,0,1,"another"
2.16270688811822,-0.513307450422389,0,1,"apple"
2.74679576165411,-1.74692773796888,0,1,"arm"
2.22640185324167,-1.79812793073645,0,1,"asleep"
1.01200387694506,-1.53908060319074,0,1,"aunt"
1.93275826103651,-3.0889115549745,0,1,"away"
1.04617549162078,0.113520049647003,0,1,"baa baa"
1.67841314809959,1.06084338368678,0,1,"baby"
0.936948749646922,-2.72205171460206,0,1,"babysitter"
0.643309004262273,-0.862478673542775,0,1,"babysitter's name"
1.97480343971236,-2.44795749466636,0,1,"back"
1.5900580886745,-1.58890769596036,0,1,"backyard"
1.14955076205158,-1.11483560577321,0,1,"bad"
2.73206555047339,3.26942843451595,0,1,"ball"
2.24366519626844,0.834352086759092,0,1,"balloon"
2.16373662561459,1.1524061258346,0,1,"banana"
2.38867725424987,2.97710450145584,0,1,"bath"
2.55746930069851,-0.372994053601887,0,1,"bathroom"
2.24843134783735,0.818729473045077,0,1,"bathtub"
1.53805635652319,-3.33075261825536,0,1,"beach"
1.53966101663446,-3.25046501660236,0,1,"beads"
1.74400063250021,-0.470025622304709,0,1,"bear"
2.52347974707682,0.136756041132043,0,1,"bed"
2.47723188763189,-1.22064123923966,0,1,"bedroom"
2.23108916777075,-2.5065782691034,0,1,"bee"
2.04262496395343,-0.373852883941221,0,1,"belly button"
1.98442787612565,-0.485938437136024,0,1,"bib"
2.05366151490995,-1.79563661409261,0,1,"bicycle"
2.13550243390886,-2.03403573692109,0,1,"big"
2.11850903582932,0.520763360273535,0,1,"bird"
1.60128891171428,0.206299502667283,0,1,"bite"
1.79460730806384,0.220273778139814,0,1,"blanket"
1.94802570852307,-0.464568990336638,0,1,"block"
2.04797258870539,-0.627708472391359,0,1,"blow"
1.94871291397216,-3.94098858340026,0,1,"blue"
2.52460557199144,2.58780522479813,0,1,"book"
2.01566844575909,-3.16624327106434,0,1,"boots"
0.894054816440165,1.13933564533016,0,1,"bottle"
2.9435895971627,-1.57558319881549,0,1,"bowl"
2.8669683105602,-2.16764311612375,0,1,"box"
2.01645032257353,-2.46385218103826,0,1,"boy"
2.01778153744694,-0.711466848694049,0,1,"bread"
3.14745672283932,-4.77194304994618,0,1,"break"
2.00845812434782,-0.00681104302551151,0,1,"breakfast"
2.225440695081,0.026492489570736,0,1,"bring"
2.55058021625059,-3.63945993544729,0,1,"broken"
1.92046045213131,-1.49849897984653,0,1,"broom"
0.132222775927311,-1.29800142528735,0,1,"brother"
2.60505974350773,0.217532761347735,0,1,"brush"
2.06778457168929,-0.476117194284473,0,1,"bubbles"
2.18910663329479,-2.37381493709236,0,1,"bug"
1.98336776424698,-2.36562782251231,0,1,"bump"
1.86169532635818,-0.338445693484577,0,1,"bunny"
1.95904319937407,-2.00081167607132,0,1,"bus"
2.47685241773511,-4.39253220448461,0,1,"butter"
2.25607255143554,-2.54550863779491,0,1,"butterfly"
2.12283901273338,-1.30251074425327,0,1,"button"
2.04037658423011,4.25152339981437,0,1,"bye"
1.90657352725052,-2.67988397476807,0,1,"cake"
1.39953893305279,-2.15758076945333,0,1,"candy"
2.87670162704727,1.69862751153066,0,1,"car"
1.6252857037627,-0.190928864541825,0,1,"careful"
2.17310505628137,-1.66048741699328,0,1,"carrots"
1.74248141922835,0.865720671940213,0,1,"cat"
1.84131616343148,-0.421098225575386,0,1,"cereal"
3.16018283476351,-0.28084621851285,0,1,"chair"
2.29512329402683,-2.87552527569382,0,1,"cheek"
1.1145578300034,0.385359910789138,0,1,"cheerios"
1.95312637747837,-0.122228084208429,0,1,"cheese"
2.21608184408254,-1.92095772131509,0,1,"chicken (animal)"
1.88928426805189,-1.97307209318739,0,1,"chicken (food)"
1.71131947483718,-3.7154628405671,0,1,"child"
0.919686845909857,2.15154771535108,0,1,"child's own name"
1.77872030708832,-1.06267719614469,0,1,"choo choo"
1.1329658824321,-2.56599658314403,0,1,"church*"
2.53435233491528,-1.85498648110108,0,1,"clean (action)"
2.51374184396192,-2.43125894468018,0,1,"clean (description)"
1.95060402162164,-2.12669958285815,0,1,"clock"
2.1711294370759,-0.417441831290307,0,1,"close"
1.64975481597382,-1.51116080282227,0,1,"coat"
1.83095579687232,-1.84162981687754,0,1,"cockadoodledoo"
1.83033180784256,-3.09125799552612,0,1,"coffee"
2.46469632771193,-1.51369536579916,0,1,"cold"
1.60000014701497,-1.0140488024365,0,1,"comb"
1.66872780418827,0.683199747165186,0,1,"cookie"
2.60631099400685,-1.56943586074413,0,1,"couch"
2.0798938304587,-0.523500393019563,0,1,"cow"
1.83435374644022,0.764606100395643,0,1,"cracker"
1.5789725855965,-0.511388319658074,0,1,"crib"
2.10426813143896,-0.947580320090383,0,1,"cry"
2.63961638227897,1.35794685376112,0,1,"cup"
1.47493403330344,-2.18996935866982,0,1,"cute"
0.828657081160428,3.33208485864327,0,1,"daddy*"
2.04927258185307,0.738464162707609,0,1,"dance"
2.76178839203131,-4.40761439640923,0,1,"dark"
2.09054247652432,-4.02378443738829,0,1,"day"
2.16216850473235,-3.81878369484962,0,1,"deer"
2.91979433914288,2.47506023934315,0,1,"diaper"
2.0357445853474,-0.497071606064742,0,1,"dinner"
2.14554500607049,-1.07609256063059,0,1,"dirty"
2.29287356222182,-2.5774586010041,0,1,"dish"
1.9335858019933,2.19002688687399,0,1,"dog"
1.47500383424698,-0.448777297676644,0,1,"doll"
1.48204536950981,0.720969613845517,0,1,"don't"
1.94686662865882,-3.70295142728006,0,1,"donkey"
3.09479071298357,0.502318056321179,0,1,"door"
2.02488393984974,0.188419566015725,0,1,"down"
2.22294038083728,-2.7325403144672,0,1,"draw"
2.01627208150042,-2.11434826677034,0,1,"drawer"
1.80885109161915,-2.50183579446621,0,1,"dress (object)"
2.45494403558322,1.34563459922285,0,1,"drink (action)"
1.80498087968155,0.677415051220819,0,1,"drink (beverage)"
2.34308596513338,-2.37108797761019,0,1,"drive"
2.61759240436821,-3.68251283027751,0,1,"dry (description)"
1.96368921366557,0.256723097222469,0,1,"duck"
2.66521436160705,-0.0341194494224039,0,1,"ear"
2.25980392876472,1.27694651544716,0,1,"eat"
2.04894183881721,-2.17550107805678,0,1,"egg"
2.15134263825737,-2.04407762648815,0,1,"elephant"
1.72348549349199,-1.59156986587224,0,1,"empty"
2.49931465683354,0.570995581845551,0,1,"eye"
2.43316739321517,-1.84511200354572,0,1,"face"
2.62048834711808,-1.7194932380134,0,1,"fall"
2.84694193092509,-4.59988943544368,0,1,"fast"
2.28409022792622,-2.39540075245818,0,1,"feed"
2.73147557663376,-7.03200737473772,0,1,"fine"
2.56794156316609,-1.01665916204632,0,1,"finger"
1.99957150568126,-2.89680025181661,0,1,"finish"
1.8859461836137,-2.2981676529932,0,1,"firetruck"
2.0693924496781,-0.582706329841728,0,1,"fish (animal)"
2.08022983760841,-2.8519689546449,0,1,"fish (food)"
2.63627319136453,-0.743763751201974,0,1,"flower"
1.91163219790933,-0.926578955467631,0,1,"food"
2.7870761117122,0.485425681277638,0,1,"foot"
2.60228367231475,-1.90668688396256,0,1,"fork"
2.15720286829335,-1.99548232569507,0,1,"frog"
1.84791048133282,-2.59411093760891,0,1,"garage"
1.94280549681907,-3.71940871210092,0,1,"garden"
1.39823587183629,-0.750465470738688,0,1,"gentle"
2.12841810454492,0.209560243205553,0,1,"get"
2.21055702788589,-3.04959097073515,0,1,"giraffe"
1.92924255201549,-2.50388969072407,0,1,"girl"
2.05515162866672,0.776253807764561,0,1,"give"
2.37857657412372,-2.50721751640659,0,1,"glass"
2.02212921906666,-0.773939206650947,0,1,"glasses"
2.34254118902434,0.448510412814816,0,1,"go"
1.5097876057271,-0.228890351649977,0,1,"good"
2.27633768044459,-3.80076620919866,0,1,"goose"
1.00534440342283,0.814624582437294,0,1,"grandma*"
0.953549569509835,0.176627670632064,0,1,"grandpa*"
1.21990036523773,-0.0444941910162878,0,1,"grrr"
3.04720548271053,0.464730787298081,0,1,"hair"
1.75320111386165,-2.72568758266788,0,1,"hammer"
2.54862590473831,-0.250456061149899,0,1,"hand"
1.91213400921605,-2.02497699247984,0,1,"happy"
3.07937510412432,-5.49081956009331,0,1,"hard"
2.22177306859114,0.0741089486111747,0,1,"hat"
2.59452048656457,-0.940550156550619,0,1,"head"
1.55514772443356,0.323955503712907,0,1,"hello"
2.77854562827136,-2.52051387682662,0,1,"help"
2.12367481181747,-4.10953887051898,0,1,"her"
1.41734070937547,1.91570855464378,0,1,"hi"
